attention_mask_length,attention_mask_tokens,block_index,block_ranges,block_size,cache_mode,experiment_batch_size,has_past_key_values,mask_counts,memory_after_bytes,memory_before_bytes,memory_peak_bytes,memory_peak_delta_bytes,memory_peak_delta_mb,memory_peak_mb,model_batch_size,model_call_index,model_call_latency_ms,model_query_length,num_blocks,past_length,phase,prompt_lens,record_index,sequence_length,step_index,steps_per_block,use_cache
153,612,0,"[[0, 32], [0, 32], [0, 32], [0, 32]]",32,prefix,4,True,"[24, 24, 24, 24]",17425473024,16974421504,17434516992,460095488,438.78125,16626.85107421875,4,6,98.66961801890284,128,4,25,refine,"[25, 25, 25, 25]",6,153,6,32,True
153,612,0,"[[0, 32], [0, 32], [0, 32], [0, 32]]",32,prefix,4,True,"[23, 23, 23, 23]",17426292224,16975109632,17435336192,460226560,438.90625,16627.63232421875,4,7,98.45573402708396,128,4,25,refine,"[25, 25, 25, 25]",7,153,7,32,True
153,612,0,"[[0, 32], [0, 32], [0, 32], [0, 32]]",32,prefix,4,True,"[22, 22, 22, 22]",17426750976,16975240704,17435794944,460554240,439.21875,16628.06982421875,4,8,99.09148499718867,128,4,25,refine,"[25, 25, 25, 25]",8,153,8,32,True
153,612,0,"[[0, 32], [0, 32], [0, 32], [0, 32]]",32,prefix,4,True,"[21, 21, 21, 21]",17426750976,16975568384,17435696640,460128256,438.8125,16627.97607421875,4,9,98.70277097797953,128,4,25,refine,"[25, 25, 25, 25]",9,153,9,32,True
153,612,0,"[[0, 32], [0, 32], [0, 32], [0, 32]]",32,prefix,4,True,"[20, 20, 20, 20]",17426324992,16975240704,17435368960,460128256,438.8125,16627.66357421875,4,10,98.7526650133077,128,4,25,refine,"[25, 25, 25, 25]",10,153,10,32,True
153,612,0,"[[0, 32], [0, 32], [0, 32], [0, 32]]",32,prefix,4,True,"[19, 19, 19, 19]",17427209728,16975142400,17436253696,461111296,439.75,16628.50732421875,4,11,98.73851900920272,128,4,25,refine,"[25, 25, 25, 25]",11,153,11,32,True
153,612,0,"[[0, 32], [0, 32], [0, 32], [0, 32]]",32,prefix,4,True,"[18, 18, 18, 18]",17427766784,16976125440,17436810752,460685312,439.34375,16629.03857421875,4,12,98.55599299771711,128,4,25,refine,"[25, 25, 25, 25]",12,153,12,32,True
153,612,0,"[[0, 32], [0, 32], [0, 32], [0, 32]]",32,prefix,4,True,"[17, 17, 17, 17]",17426685440,16975699456,17435729408,460029952,438.71875,16628.00732421875,4,13,98.45624500303529,128,4,25,refine,"[25, 25, 25, 25]",13,153,13,32,True
153,612,0,"[[0, 32], [0, 32], [0, 32], [0, 32]]",32,prefix,4,True,"[16, 16, 16, 16]",17426882048,16975044096,17435926016,460881920,439.53125,16628.19482421875,4,14,98.56276601203717,128,4,25,refine,"[25, 25, 25, 25]",14,153,14,32,True
153,612,0,"[[0, 32], [0, 32], [0, 32], [0, 32]]",32,prefix,4,True,"[15, 15, 15, 15]",17426882048,16975896064,17435926016,460029952,438.71875,16628.19482421875,4,15,98.58368599088863,128,4,25,refine,"[25, 25, 25, 25]",15,153,15,32,True
