attention_mask_length,attention_mask_tokens,block_index,block_ranges,block_size,cache_mode,experiment_batch_size,has_past_key_values,mask_counts,memory_after_bytes,memory_before_bytes,memory_peak_bytes,memory_peak_delta_bytes,memory_peak_delta_mb,memory_peak_mb,model_batch_size,model_call_index,model_call_latency_ms,model_query_length,num_blocks,past_length,phase,prompt_lens,record_index,replace_position_count,sequence_length,step_index,steps_per_block,use_cache
153,612,0,"[[0, 32], [0, 32], [0, 32], [0, 32]]",32,dual,4,True,"[21, 21, 21, 21]",16588944384,16556471296,16604249088,47777792,45.564453125,15835.0458984375,4,9,53.58154300483875,32,4,153,refine,"[25, 25, 25, 25]",9,128,153,9,32,True
153,612,0,"[[0, 32], [0, 32], [0, 32], [0, 32]]",32,dual,4,True,"[20, 20, 20, 20]",16588944384,16556569600,16604347392,47777792,45.564453125,15835.1396484375,4,10,53.52551699616015,32,4,153,refine,"[25, 25, 25, 25]",10,128,153,10,32,True
153,612,0,"[[0, 32], [0, 32], [0, 32], [0, 32]]",32,dual,4,True,"[19, 19, 19, 19]",16588944384,16556471296,16604249088,47777792,45.564453125,15835.0458984375,4,11,53.58816499938257,32,4,153,refine,"[25, 25, 25, 25]",11,128,153,11,32,True
153,612,0,"[[0, 32], [0, 32], [0, 32], [0, 32]]",32,dual,4,True,"[18, 18, 18, 18]",16588944384,16556569600,16604347392,47777792,45.564453125,15835.1396484375,4,12,53.45837102504447,32,4,153,refine,"[25, 25, 25, 25]",12,128,153,12,32,True
153,612,0,"[[0, 32], [0, 32], [0, 32], [0, 32]]",32,dual,4,True,"[17, 17, 17, 17]",16588944384,16556471296,16604249088,47777792,45.564453125,15835.0458984375,4,13,53.49926798953675,32,4,153,refine,"[25, 25, 25, 25]",13,128,153,13,32,True
153,612,0,"[[0, 32], [0, 32], [0, 32], [0, 32]]",32,dual,4,True,"[16, 16, 16, 16]",16588944384,16556569600,16604347392,47777792,45.564453125,15835.1396484375,4,14,53.53091799770482,32,4,153,refine,"[25, 25, 25, 25]",14,128,153,14,32,True
153,612,0,"[[0, 32], [0, 32], [0, 32], [0, 32]]",32,dual,4,True,"[15, 15, 15, 15]",16588944384,16556471296,16604249088,47777792,45.564453125,15835.0458984375,4,15,56.527687003836036,32,4,153,refine,"[25, 25, 25, 25]",15,128,153,15,32,True
153,612,0,"[[0, 32], [0, 32], [0, 32], [0, 32]]",32,dual,4,True,"[14, 14, 14, 14]",16588944384,16556569600,16604347392,47777792,45.564453125,15835.1396484375,4,16,54.2019649874419,32,4,153,refine,"[25, 25, 25, 25]",16,128,153,16,32,True
153,612,0,"[[0, 32], [0, 32], [0, 32], [0, 32]]",32,dual,4,True,"[13, 13, 13, 13]",16588944384,16556471296,16604249088,47777792,45.564453125,15835.0458984375,4,17,53.50374698173255,32,4,153,refine,"[25, 25, 25, 25]",17,128,153,17,32,True
153,612,0,"[[0, 32], [0, 32], [0, 32], [0, 32]]",32,dual,4,True,"[12, 12, 12, 12]",16588944384,16556569600,16604347392,47777792,45.564453125,15835.1396484375,4,18,53.48382901865989,32,4,153,refine,"[25, 25, 25, 25]",18,128,153,18,32,True
